id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
0,,Blvd. Fr. Roosevelt,24.0,7060.0,SOIGNIES,Hainaut,,Y,,,"24.0 Blvd. Fr. Roosevelt, SOIGNIES, Hainaut, Belgium 7060",50.5760416,4.0657403
1,,Ch. De Wégimont,76.0,4630.0,Ayeneux,Liège,,,,,"76.0 Ch. De Wégimont, Ayeneux, Liège, Belgium 4630",50.6076801,5.7301866
2,,Place Saint - Lambert,,4020.0,Liège,Liège,,,,," Place Saint - Lambert, Liège, Liège, Belgium 4020",50.6456222,5.5736201
3,,Rue du Doyard,,4990.0,Lierneux,Liège,,,,," Rue du Doyard, Lierneux, Liège, Belgium 4990",50.2874163,5.7863246
4,,Fond Saint Servais,,4000.0,Liège,Liège,,,,," Fond Saint Servais, Liège, Liège, Belgium 4000",50.6468058,5.5710309
5,,Rue des Prémontrès,12.0,4020.0,Liège,Liège,,,,,"12.0 Rue des Prémontrès, Liège, Liège, Belgium 4020",50.637795,5.5743458
6,,Route de Bastogne,1.0,4920.0,Harzé,Liège,,,,,"1.0 Route de Bastogne, Harzé, Liège, Belgium 4920",50.4377504,5.6673911
7,,Rue du Parc,1.0,4540.0,Jehay,Liège,,,,,"1.0 Rue du Parc, Jehay, Liège, Belgium 4540",50.5786968,5.3257587
8,,Blvd. De la Constitution,19.0,4020.0,Liège,Liège,,,,,"19.0 Blvd. De la Constitution, Liège, Liège, Belgium 4020",50.6441832,5.5882429
9,,Place de la République française ,,4000.0,Liège,Liège,,,,," Place de la République française , Liège, Liège, Belgium 4000",50.6434288,5.5718235
10,,Rue Darchis,33.0,4020.0,Liège,Liège,,,,,"33.0 Rue Darchis, Liège, Liège, Belgium 4020",50.6370996,5.5649557
11,,Schumanplein,11.0,1040.0,Brussel,Bruxelles-Brussel,,,,,"11.0 Schumanplein, Brussel, Bruxelles-Brussel, Belgium 1040",50.8421891,4.3835297
12,,Uitbreidingstraat,,2600.0,Berchem,Antwerpen,,,,," Uitbreidingstraat, Berchem, Antwerpen, Belgium 2600",51.1967334,4.4294545
13,,Peperstraat,2.0,3300.0,TIENEN,Vlaams-Brabant,,Y,,,"2.0 Peperstraat, TIENEN, Vlaams-Brabant, Belgium 3300",50.8065188,4.9375261
14,,Graafschap - Jettelaan,2.0,1090.0,Brussel,Bruxelles-Brussel,,,,,"2.0 Graafschap - Jettelaan, Brussel, Bruxelles-Brussel, Belgium 1090",50.8830257,4.3333836
15,,Sint-Pieterskerstraat,,1090.0,Brussel,Bruxelles-Brussel,,,,," Sint-Pieterskerstraat, Brussel, Bruxelles-Brussel, Belgium 1090",50.8802534,4.3250605
