potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon,Province
4249,25,"[0.8277012748978421, 0.9187955849417287, 0.2068969969747305, 0.3373144279117321, 0.1000262566951027, 0.7951928382078091, 0.2581711924609375, 0.5307509020095146, 0.4760554752893455, 0.1644025246653736, 0.4638456918622844, 0.2677121885850948, 1.004611302037501, 0.2326009875338011, 0.7115143012573856, 0.1067296533492487, 0.7197887073469971, 0.8434185038275673, 0.3771548744370581, 0.847912586092477, 0.676968971227928, 0.6697572679850773, 0.5951078943703579, 0.2393680473136072, 0.2081153411089294]",50.48989898989899,4.154545454545454,"[8769, 9570, 9786, 10127, 10419, 10838, 11234, 11388, 11391, 11705, 11899, 12178, 12292, 12529, 12537, 13385, 13595, 14096, 14170, 14172, 14317, 14324, 14361, 17496, 18303]","[50.49497, 50.49633, 50.49059, 50.49241, 50.48903, 50.49469, 50.48786, 50.4931, 50.49237, 50.48856, 50.49352, 50.48803, 50.49167, 50.48783, 50.49437, 50.48997, 50.49165, 50.49434, 50.49164, 50.4944, 50.4937, 50.4952, 50.4929, 50.48864, 50.49023]","[4.14598, 4.14639, 4.15183, 4.15187, 4.15418, 4.1462, 4.1528, 4.14898, 4.14905, 4.15356, 4.15129, 4.15216, 4.14062, 4.15503, 4.14735, 4.15605, 4.14475, 4.14488, 4.14997, 4.14487, 4.14707, 4.15005, 4.14758, 4.15729, 4.15165]","[1382, 1382, 1382, 1382, 1382, 1382, 9353, 1382, 1382, 1382, 1382, 9353, 9353, 1382, 1382, 1382, 1382, 1382, 1382, 1382, 1382, 1382, 1382, 1382, 1382]","[0.8877406005685495, 0.9482194848791732, 0.3624054674781905, 0.3873084110838842, 0.2951067618932481, 0.8590901757297179, 0.4545904895419223, 0.6055265398472718, 0.574929714892328, 0.3633307058341609, 0.4834716362051064, 0.4544646623885258, 1.0643994213613264, 0.3807669473443611, 0.7706148137611627, 0.1334418982302251, 0.8624501564536124, 0.9263313764387237, 0.4950233659568838, 0.9296415405798046, 0.7559092954016543, 0.6700913561629003, 0.6912353580393884, 0.2682737841084176, 0.3824281702165486]","[50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4841824, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4841824, 50.4841824, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401, 50.4910401]","[4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1499934, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1499934, 4.1499934, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038, 4.1569038]",Wallonia
5146,22,"[0.5931339360697705, 0.9256377701631188, 0.6995991645764194, 0.4312745974786447, 0.932151870658686, 1.157254991073518, 0.5011123786069748, 0.9122873255854927, 1.2270671724089215, 0.8738430491990836, 0.4260368325926385, 0.0356802534357049, 0.3370554833081324, 0.728644362864507, 0.0452712244433872, 0.4679639521132817, 0.865727985245136, 0.4626934827758268, 0.3991050807329456, 0.1541611671317646, 0.925149958525542, 0.6174966309062262]",50.42929292929293,4.50909090909091,"[8689, 8718, 8738, 9027, 9180, 9261, 9564, 10052, 10155, 10498, 10500, 11019, 11722, 11757, 12053, 12185, 12350, 12501, 13059, 13849, 14181, 19249]","[50.42762, 50.42366, 50.43012, 50.42679, 50.42974, 50.43521, 50.43101, 50.42973, 50.43536, 50.42416, 50.42916, 50.42905, 50.42972, 50.43389, 50.42961, 50.42858, 50.42428, 50.42832, 50.42962, 50.43054, 50.43209, 50.4259]","[4.50114, 4.49947, 4.4993, 4.50444, 4.49595, 4.49565, 4.50255, 4.49623, 4.49462, 4.49975, 4.50308, 4.50942, 4.50438, 4.50176, 4.50869, 4.50258, 4.49974, 4.50274, 4.50348, 4.50814, 4.49679, 4.50219]","[5216, 3681, 5216, 5216, 3681, 5209, 5216, 3681, 8042, 5216, 5216, 5216, 5216, 5216, 5216, 5216, 5216, 5216, 5216, 5216, 5216, 5216]","[0.6829994581953911, 0.9561995373555356, 0.7694721428701042, 0.5253990594264386, 0.9568310519369958, 1.1735656853758083, 0.5548965124159884, 0.970826116820596, 1.2315057548138453, 0.9679051038095576, 0.5060227120469089, 0.0985998517478512, 0.4089459684618021, 0.7481339756623732, 0.1057749687362981, 0.5533532631899307, 0.9598501420492478, 0.550345156983223, 0.4730335642437914, 0.1643140812548677, 0.9799752394333834, 0.7117287229921726]","[50.4298043, 50.4239349, 50.4298043, 50.4298043, 50.4239349, 50.4375229, 50.4298043, 50.4239349, 50.437684, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043, 50.4298043]","[4.5101518, 4.4859794, 4.5101518, 4.5101518, 4.4859794, 4.5118174, 4.5101518, 4.4859794, 4.4776188, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518, 4.5101518]",Wallonia
4845,21,"[0.4192953095435562, 0.416210315441359, 0.2706614568894133, 0.425963058395287, 0.2289685894230795, 0.0381006995539118, 0.2944677481017549, 0.3633969467625763, 0.1376922914825003, 0.1655767884040067, 0.3454940772853055, 0.070137806389472, 0.1348207035321973, 0.2907710381052144, 0.3302014209846644, 0.279448801913394, 0.4260623259092488, 0.2346820544110133, 0.1867794613238673, 0.381961865508967, 0.1656812910439242]",50.40909090909091,4.390909090909091,"[8575, 8604, 8812, 8978, 10227, 10241, 10289, 10649, 10962, 11146, 11480, 12102, 12432, 12561, 12979, 13114, 13118, 13165, 13178, 13598, 13838]","[50.40956, 50.40954, 50.4086, 50.41151, 50.41006, 50.40903, 50.40959, 50.41107, 50.40838, 50.4102, 50.41193, 50.40868, 50.4087, 50.41161, 50.41096, 50.41021, 50.41155, 50.41033, 50.40937, 50.40938, 50.40945]","[4.39678, 4.39674, 4.39465, 4.39557, 4.39376, 4.39038, 4.39499, 4.39499, 4.3925, 4.38935, 4.39289, 4.39166, 4.39271, 4.39201, 4.39453, 4.39444, 4.39552, 4.39359, 4.38831, 4.39628, 4.38864]","[11433, 11433, 11433, 3542, 3542, 3542, 11433, 3542, 11433, 3542, 3542, 9572, 11433, 3542, 3542, 11433, 3542, 3542, 3542, 11433, 3542]","[0.4782533917965403, 0.4751640361416717, 0.3402840834712423, 0.608508146901256, 0.4915133782250486, 0.3298767892813747, 0.4519608276758394, 0.5654985042669313, 0.3416018796021783, 0.1923523113131155, 0.4273582731282472, 0.3688672355226994, 0.3697160625653634, 0.3592614874418351, 0.5330594254198485, 0.5187120892425776, 0.6053467339466807, 0.4736238708848156, 0.2109331233527845, 0.4476062087920492, 0.2145984307314037]","[50.4055454, 50.4055454, 50.4055454, 50.4110764, 50.4110764, 50.4110764, 50.4055454, 50.4110764, 50.4055454, 50.4110764, 50.4110764, 50.40576, 50.4055454, 50.4110764, 50.4110764, 50.4055454, 50.4110764, 50.4110764, 50.4110764, 50.4055454, 50.4110764]","[4.3943584, 4.3943584, 4.3943584, 4.3870097, 4.3870097, 4.3870097, 4.3943584, 4.3870097, 4.3943584, 4.3870097, 4.3870097, 4.38919, 4.3943584, 4.3870097, 4.3870097, 4.3943584, 4.3870097, 4.3870097, 4.3870097, 4.3943584, 4.3870097]",Wallonia
4247,20,"[0.5632131023277506, 0.4690129533599056, 1.324476215164527, 0.8331350637366937, 0.5896843165218286, 0.5168319096362343, 1.0815741062506197, 0.6462439085078429, 0.5229792624771059, 1.0552161513842278, 0.754367855246244, 0.5135067476803862, 0.3731555168568277, 1.2082041320457413, 0.9491361971887504, 0.6567777963616128, 0.4950582225941672, 0.3325539809664809, 0.1810645115647558, 0.5203093884316611]",50.44949494949495,4.154545454545454,"[8491, 9030, 9155, 10657, 11263, 12651, 12686, 12841, 12889, 13661, 13746, 13967, 13991, 14014, 14098, 14186, 14237, 17417, 17525, 17837]","[50.4537, 50.44877, 50.44862, 50.45468, 50.4492, 50.45102, 50.44953, 50.44779, 50.45106, 50.45517, 50.45323, 50.45133, 50.44988, 50.45653, 50.45123, 50.4476, 50.45128, 50.45063, 50.45109, 50.45106]","[4.15898, 4.14802, 4.13589, 4.16304, 4.14623, 4.14765, 4.13927, 4.14582, 4.14758, 4.1426, 4.16344, 4.14789, 4.14931, 4.14154, 4.14142, 4.14576, 4.14814, 4.1502, 4.15506, 4.14762]","[1600, 2908, 2908, 1600, 2908, 1600, 2908, 2908, 1600, 1600, 1600, 1600, 2908, 1600, 2908, 2908, 1600, 1600, 1600, 1600]","[0.9272119938618336, 1.285186330239072, 1.55930528793489, 0.8418423140075709, 1.3436253377060006, 1.5052364017060544, 1.5234004706796174, 1.1930113683173733, 1.5045331425551491, 1.4515216666470658, 1.0051151469944384, 1.467343366855835, 1.4083042946053903, 1.4459839116048374, 1.6411843340656054, 1.1729544725571168, 1.4615538537214106, 1.445300333562774, 1.2648731162295808, 1.5028714440116684]","[50.46201, 50.4372205, 50.4372205, 50.46201, 50.4372205, 50.46201, 50.4372205, 50.4372205, 50.46201, 50.46201, 50.46201, 50.46201, 50.4372205, 50.46201, 50.4372205, 50.4372205, 50.46201, 50.46201, 50.46201, 50.46201]","[4.1600642, 4.1487142, 4.1487142, 4.1600642, 4.1487142, 4.1600642, 4.1487142, 4.1487142, 4.1600642, 4.1600642, 4.1600642, 4.1600642, 4.1487142, 4.1600642, 4.1487142, 4.1487142, 4.1600642, 4.1600642, 4.1600642, 4.1600642]",Wallonia
5678,18,"[1.1585544038464746, 0.8050110327810958, 0.3626194522502862, 0.5789623921884396, 1.026394209361198, 0.936626456149844, 0.4555546746443473, 0.5936771557874129, 0.566258368056017, 0.6288601216076011, 0.3700977552350356, 0.5655979368164922, 0.5903411921919687, 0.9390452968493864, 0.4719998112677968, 1.06415419535964, 0.6266788884309916, 0.1787956440529884]",51.07575757575758,4.706060606060606,"[1105, 1182, 1471, 1734, 1924, 2381, 2475, 2685, 3232, 3322, 3382, 3413, 4490, 5319, 5471, 5666, 6207, 6710]","[51.06897, 51.06863, 51.0782, 51.07388, 51.06977, 51.06752, 51.07347, 51.07464, 51.07435, 51.07263, 51.07814, 51.07444, 51.07384, 51.06952, 51.07988, 51.0663, 51.07303, 51.0743]","[4.69348, 4.70808, 4.7095, 4.71379, 4.69488, 4.70886, 4.71147, 4.71437, 4.71385, 4.71356, 4.70976, 4.71388, 4.71394, 4.697, 4.70445, 4.70839, 4.71391, 4.70498]","[10942, 12025, 7237, 12025, 10942, 12025, 6152, 6152, 6152, 12025, 7237, 6152, 12025, 10942, 7237, 12025, 12025, 7237]","[1.294494888998145, 1.3603536942248786, 0.5086859196701847, 0.8239191127364214, 1.4266159664949074, 1.3720953255246089, 0.9661262365080372, 0.7355644119554201, 0.7833941424798432, 0.853417795860868, 0.5155005577442354, 0.7742841944688473, 0.8135199461879338, 1.526357112460056, 0.4812451730497325, 1.4744825940293391, 0.822411699447943, 0.9954233675860054]","[51.0614935, 51.0739902, 51.0827745, 51.0739902, 51.0614935, 51.0739902, 51.079851, 51.079851, 51.079851, 51.0739902, 51.0827745, 51.079851, 51.0739902, 51.0614935, 51.0827745, 51.0739902, 51.0739902, 51.0827745]","[4.6792803, 4.7255816, 4.7095718, 4.7255816, 4.6792803, 4.7255816, 4.7208559, 4.7208559, 4.7208559, 4.7255816, 4.7095718, 4.7208559, 4.7255816, 4.6792803, 4.7095718, 4.7255816, 4.7255816, 4.7095718]",Flanders
4983,18,"[0.4390370169803638, 0.1849725543221417, 0.1127478008772605, 0.1135313727861984, 0.6088176323589157, 0.6604142142496098, 0.1771722660326083, 0.4613679913668913, 0.6837778743713228, 0.1201882318694176, 0.3239945660944784, 0.4687760355749387, 0.4285012101263719, 0.4438120433104316, 0.5024299142661953, 0.3162709110061651, 0.2631855930708525, 0.4420672591506303]",51.176767676767675,4.430303030303031,"[746, 845, 880, 1519, 2311, 2553, 4120, 4365, 4396, 4534, 4720, 4847, 5080, 6374, 6448, 6596, 21791, 21959]","[51.17587, 51.17788, 51.17765, 51.17771, 51.17467, 51.17295, 51.17832, 51.17553, 51.17401, 51.17641, 51.17475, 51.17393, 51.17345, 51.1734, 51.17578, 51.17527, 51.17806, 51.17432]","[4.42417, 4.42833, 4.4311, 4.43093, 4.43837, 4.43756, 4.42973, 4.43662, 4.43907, 4.43193, 4.42695, 4.42533, 4.43343, 4.43372, 4.42327, 4.43416, 4.42714, 4.4353]","[530, 9501, 9501, 9501, 11847, 11847, 9501, 11847, 11847, 9501, 3358, 3358, 3358, 3358, 530, 11847, 9501, 11847]","[0.5679254261367457, 0.2747132591981553, 0.2717200467043101, 0.2628344989853718, 0.6088627281458228, 0.7786534504100395, 0.194251105063755, 0.4846073242993787, 0.6947638714113601, 0.4197065410559778, 0.5696944165002359, 0.5032370300277188, 0.58391460050405, 0.5941119003614176, 0.5099455749630466, 0.5135767589599681, 0.308903535848848, 0.6118095337033685]","[51.1770817, 51.1800356, 51.1800356, 51.1800356, 51.1798217, 51.1798217, 51.1800356, 51.1798217, 51.1798217, 51.1800356, 51.1696458, 51.1696458, 51.1696458, 51.1696458, 51.1770817, 51.1798217, 51.1800356, 51.1798217]","[4.4162557, 4.4302555, 4.4302555, 4.4302555, 4.4354104, 4.4354104, 4.4302555, 4.4354104, 4.4354104, 4.4302555, 4.4276565, 4.4276565, 4.4276565, 4.4276565, 4.4162557, 4.4354104, 4.4302555, 4.4354104]",Flanders
5145,17,"[0.0299315289038865, 0.1601265997224652, 0.2132361763184455, 0.3846168631568835, 0.3798533799240441, 0.0957679201701073, 0.2644124866501217, 0.3585739817401592, 0.1877628689601805, 0.4568407295142681, 0.4517903207041989, 0.2172800687931488, 0.1284423807048046, 0.5378351445497586, 0.5510710993691815, 0.3488523941693416, 0.3583927274198751]",50.40909090909091,4.50909090909091,"[8537, 8954, 9535, 9792, 9930, 10224, 10338, 10413, 11167, 12074, 13439, 13602, 13873, 13877, 18558, 25821, 26076]","[50.40936, 50.41025, 50.40871, 50.40967, 50.41027, 50.40969, 50.41117, 50.41215, 50.40792, 50.41173, 50.41172, 50.40875, 50.40968, 50.41168, 50.41196, 50.41064, 50.41051]","[4.50908, 4.50775, 4.51204, 4.50374, 4.50406, 4.50812, 4.50728, 4.50749, 4.511, 4.50415, 4.50423, 4.51211, 4.51065, 4.50268, 4.50275, 4.50481, 4.50455]","[5206, 5206, 5206, 10898, 4224, 5206, 4224, 4224, 5206, 4224, 4224, 5206, 5206, 4224, 4224, 4224, 4224]","[0.579771940170374, 0.6527387149242981, 0.4206468955794751, 0.8593435371757684, 0.8211683091304807, 0.6365843084368361, 0.608983885766821, 0.5080343647982113, 0.5321869804445643, 0.6990129925172341, 0.6955827561173983, 0.4140346411051955, 0.4629801565588614, 0.7826005212967878, 0.760040246052754, 0.7557320625966222, 0.7785323803731901]","[50.4108737, 50.4108737, 50.4108737, 50.4036405, 50.4159594, 50.4108737, 50.4159594, 50.4159594, 50.4108737, 50.4159594, 50.4159594, 50.4108737, 50.4108737, 50.4159594, 50.4159594, 50.4159594, 50.4159594]","[4.5169092, 4.5169092, 4.5169092, 4.4961547, 4.5114485, 4.5169092, 4.5114485, 4.5114485, 4.5169092, 4.5114485, 4.5114485, 4.5169092, 4.5169092, 4.5114485, 4.5114485, 4.5114485, 4.5114485]",Wallonia
3445,17,"[0.6051057205844358, 1.3747428554617835, 1.155321109735365, 1.465447770610753, 1.442389474810501, 0.0891164148800626, 0.3590658268753014, 0.292350714633787, 0.0205222067716537, 0.3018576325659451, 0.3354911320002344, 0.9638090544042311, 0.3106960644609487, 1.3528540101601256, 0.7992126312562734, 0.3049123821643975, 0.152935297315627]",50.40909090909091,3.83939393939394,"[8455, 8710, 9620, 10602, 10627, 11872, 12562, 12600, 12759, 13009, 13519, 13549, 13686, 13689, 13710, 17448, 19177]","[50.41373, 50.40117, 50.40158, 50.40092, 50.40065, 50.40913, 50.40959, 50.41157, 50.40926, 50.40782, 50.40929, 50.40286, 50.41162, 50.40194, 50.40285, 50.4118, 50.40842]","[3.83493, 3.8245, 3.82813, 3.82317, 3.82394, 3.84065, 3.8444, 3.83802, 3.83951, 3.83563, 3.83467, 3.82994, 3.83753, 3.82395, 3.8338, 3.84006, 3.83751]","[8472, 3623, 3623, 3623, 3623, 3313, 3313, 3313, 3313, 3313, 3313, 12304, 3313, 3623, 12304, 3313, 3313]","[0.7866821253703343, 1.564841514168759, 1.7831544574838694, 1.4935595820003749, 1.555845976408031, 0.6990979725195952, 0.4515631165672764, 0.796879773858416, 0.7638727273608976, 1.0813918375820255, 1.0819713545246374, 1.664983430904291, 0.8309635750074928, 1.4936661647731353, 1.392978896190395, 0.6506540802305425, 0.93239863549199]","[50.4205471, 50.4072984, 50.4072984, 50.4072984, 50.4072984, 50.4122501, 50.4122501, 50.4122501, 50.4122501, 50.4122501, 50.4122501, 50.4042633, 50.4122501, 50.4072984, 50.4042633, 50.4122501, 50.4122501]","[3.8378994, 3.8046237, 3.8046237, 3.8046237, 3.8046237, 3.849215, 3.849215, 3.849215, 3.849215, 3.849215, 3.849215, 3.8533291, 3.849215, 3.8046237, 3.8533291, 3.849215, 3.849215]",Wallonia
8275,17,"[1.1296626556218143, 1.5201557439670697, 0.5227124426096792, 0.7037923272732715, 0.7634171712873072, 1.2119621238683127, 0.1149025186279658, 0.3290083515748541, 1.152177228615027, 0.8849598936147265, 1.161403279614193, 0.6103635891933376, 1.2070430545273862, 1.0083407917046971, 1.3468771718502546, 1.119680903953277, 0.4677575282970508]",51.01515151515152,5.7303030303030305,"[19772, 19893, 20205, 20487, 20641, 20711, 20927, 20963, 21093, 21122, 21216, 21231, 21294, 21588, 22028, 22176, 22259]","[51.0251, 51.02391, 51.01077, 51.01925, 51.02, 51.02034, 51.01615, 51.0178, 51.02146, 51.01932, 51.02031, 51.01853, 51.02027, 51.02136, 51.02442, 51.02109, 51.01928]","[5.72703, 5.74699, 5.73301, 5.73797, 5.73803, 5.74554, 5.72988, 5.7324, 5.74337, 5.74108, 5.74474, 5.73718, 5.74552, 5.74081, 5.7427, 5.74323, 5.72902]","[6792, 4260, 4260, 4260, 4260, 4260, 4260, 4260, 4260, 4260, 4260, 4260, 4260, 4260, 6792, 4260, 4260]","[1.1302535157460365, 1.954071599986697, 0.8354748572917856, 1.1529715370292446, 1.1941598746283495, 1.6880939731328903, 0.5001425889177212, 0.7318967776823796, 1.6002992801376477, 1.3562230650425815, 1.6347599923208, 1.0702924295142124, 1.6840066300729144, 1.4377239315766437, 1.6973069511371388, 1.5731271311249704, 0.6441894974981331]","[51.035222, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.0148858, 51.035222, 51.0148858, 51.0148858]","[5.7255516, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7230186, 5.7255516, 5.7230186, 5.7230186]",Flanders
4865,17,"[0.2939326695790322, 0.2790491141164176, 0.0886485619367798, 0.2805134619640084, 0.2798272880498363, 0.060607379721298, 0.2136388915599182, 0.2426074888251083, 0.2865273775517611, 0.0812795660653894, 0.1366777588594869, 0.1087779928155007, 0.2832517797740973, 0.1881448890494498, 0.2409372302786263, 0.1445566874221333, 0.2866497067211243]",50.813131313131315,4.390909090909091,"[26450, 26576, 27163, 27357, 27511, 27560, 28026, 28407, 28525, 28537, 28706, 29066, 29189, 29329, 29951, 30365, 31662]","[50.81566, 50.81555, 50.81235, 50.81522, 50.81527, 50.81259, 50.81126, 50.8126, 50.81184, 50.81245, 50.81194, 50.81218, 50.81511, 50.8116, 50.8137, 50.81219, 50.811864368]","[4.38969, 4.38985, 4.39116, 4.38867, 4.38881, 4.39101, 4.39022, 4.38756, 4.38738, 4.39049, 4.39043, 4.39127, 4.38837, 4.38977, 4.3876, 4.38949, 4.3873559464]","[11792, 9078, 9078, 9078, 9078, 9078, 8697, 9078, 8697, 9078, 9078, 9078, 2992, 8697, 2992, 9078, 8697]","[0.3135285966420648, 0.3135461143098587, 0.142530837788062, 0.3454738194297352, 0.3413568298999946, 0.1325027893253663, 0.2192818224387333, 0.3576506383159176, 0.3769830681115146, 0.1714053184397359, 0.2109094785985705, 0.1523749212120158, 0.3263490961888157, 0.2648164791199381, 0.3194637117954707, 0.2464310559938304, 0.3801190660455125]","[50.8184617, 50.8132953, 50.8132953, 50.8132953, 50.8132953, 50.8132953, 50.8093557, 50.8132953, 50.8093557, 50.8132953, 50.8132953, 50.8132953, 50.8152056, 50.8093557, 50.8152056, 50.8132953, 50.8093557]","[4.3891875, 4.3925301, 4.3925301, 4.3925301, 4.3925301, 4.3925301, 4.391031, 4.3925301, 4.391031, 4.3925301, 4.3925301, 4.3925301, 4.3837273, 4.391031, 4.3837273, 4.3925301, 4.391031]",Brussels
