type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
,Blvd. Fr. Roosevelt,24.0,7060.0,SOIGNIES,Hainaut,,Y,,,"24.0 Blvd. Fr. Roosevelt, SOIGNIES, Hainaut, Belgium 7060",50.5760416,4.0657403
,Ch. De Wégimont,76.0,4630.0,Ayeneux,Liège,,,,,"76.0 Ch. De Wégimont, Ayeneux, Liège, Belgium 4630",50.6076801,5.7301866
,Place Saint - Lambert,,4020.0,Liège,Liège,,,,," Place Saint - Lambert, Liège, Liège, Belgium 4020",50.6456222,5.5736201
,Rue du Doyard,,4990.0,Lierneux,Liège,,,,," Rue du Doyard, Lierneux, Liège, Belgium 4990",50.2874163,5.7863246
,Fond Saint Servais,,4000.0,Liège,Liège,,,,," Fond Saint Servais, Liège, Liège, Belgium 4000",50.6468058,5.5710309
,Rue des Prémontrès,12.0,4020.0,Liège,Liège,,,,,"12.0 Rue des Prémontrès, Liège, Liège, Belgium 4020",50.637795,5.5743458
,Route de Bastogne,1.0,4920.0,Harzé,Liège,,,,,"1.0 Route de Bastogne, Harzé, Liège, Belgium 4920",50.4377504,5.6673911
,Rue du Parc,1.0,4540.0,Jehay,Liège,,,,,"1.0 Rue du Parc, Jehay, Liège, Belgium 4540",50.5786968,5.3257587
,Blvd. De la Constitution,19.0,4020.0,Liège,Liège,,,,,"19.0 Blvd. De la Constitution, Liège, Liège, Belgium 4020",50.6441832,5.5882429
,Place de la République française ,,4000.0,Liège,Liège,,,,," Place de la République française , Liège, Liège, Belgium 4000",50.6434288,5.5718235
,Rue Darchis,33.0,4020.0,Liège,Liège,,,,,"33.0 Rue Darchis, Liège, Liège, Belgium 4020",50.6370996,5.5649557
,Schumanplein,11.0,1040.0,Brussel,Bruxelles-Brussel,,,,,"11.0 Schumanplein, Brussel, Bruxelles-Brussel, Belgium 1040",50.8421891,4.3835297
,Uitbreidingstraat,,2600.0,Berchem,Antwerpen,,,,," Uitbreidingstraat, Berchem, Antwerpen, Belgium 2600",51.1967334,4.4294545
,Peperstraat,2.0,3300.0,TIENEN,Vlaams-Brabant,,Y,,,"2.0 Peperstraat, TIENEN, Vlaams-Brabant, Belgium 3300",50.8065188,4.9375261
,Graafschap - Jettelaan,2.0,1090.0,Brussel,Bruxelles-Brussel,,,,,"2.0 Graafschap - Jettelaan, Brussel, Bruxelles-Brussel, Belgium 1090",50.8830257,4.3333836
,Sint-Pieterskerstraat,,1090.0,Brussel,Bruxelles-Brussel,,,,," Sint-Pieterskerstraat, Brussel, Bruxelles-Brussel, Belgium 1090",50.8802534,4.3250605
,Wemmelsestweg,100.0,1090.0,Brussel,Bruxelles-Brussel,,,,,"100.0 Wemmelsestweg, Brussel, Bruxelles-Brussel, Belgium 1090",50.8747739,4.3314996
,Rue Pietro Ferrero,5.0,6700.0,ARLON,Luxembourg,,N,,,"5.0 Rue Pietro Ferrero, ARLON, Luxembourg, Belgium 6700",49.6745435,5.818557
,Tweestationsstraat,80.0,1070.0,Brussel,Bruxelles-Brussel,,,,,"80.0 Tweestationsstraat, Brussel, Bruxelles-Brussel, Belgium 1070",50.8314212,4.3222147
,Nieuwe Weg ,1.0,2070.0,ZWIJNDRECHT,Antwerpen,,Y,,,"1.0 Nieuwe Weg , ZWIJNDRECHT, Antwerpen, Belgium 2070",51.2398636,4.3272098
,Hermeslaan,2.0,1831.0,MachelenBt),Vlaams-Brabant,,,,,"2.0 Hermeslaan, MachelenBt), Vlaams-Brabant, Belgium 1831",50.8819608,4.441951
,Gemeenteplein,1.0,3798.0,Voeren  s Gravenvoeren,Limburg,,Y,,,"1.0 Gemeenteplein, Voeren  s Gravenvoeren, Limburg, Belgium 3798",50.7594861,5.7597806
,Remersdaal-Dorp,1.0,3791.0,Remersdaal,Limburg,,,,,"1.0 Remersdaal-Dorp, Remersdaal, Limburg, Belgium 3791",50.7297617,5.8785602
,Sint-Pieterstraat ,20.0,3792.0,Sint-Pieters-Voeren,Limburg,,Y,,,"20.0 Sint-Pieterstraat , Sint-Pieters-Voeren, Limburg, Belgium 3792",50.7353624,5.8246102
,Kerkplein,1.0,3790.0,Moelingen,Limburg,,Y,,,"1.0 Kerkplein, Moelingen, Limburg, Belgium 3790",50.7572831,5.7107026
,Gieveldstraat,,3793.0,Teuven,Limburg,,Y,,," Gieveldstraat, Teuven, Limburg, Belgium 3793",50.7518324,5.8759546
,Kerkstraat,1.0,3790.0,VOEREN,Limburg,,Y,,,"1.0 Kerkstraat, VOEREN, Limburg, Belgium 3790",50.7488563,5.812563
,Vanhalstraat,1.0,1500.0,Halle,Vlaams-Brabant,,y,,,"1.0 Vanhalstraat, Halle, Vlaams-Brabant, Belgium 1500",50.73248479999999,4.234912899999999
,Brikkenovenstraat,48.0,3600.0,Genk,Limburg,,N,,,"48.0 Brikkenovenstraat, Genk, Limburg, Belgium 3600",50.9792712,5.4711585
