potential_aed_id,intervention_id,intervention_lat,intervention_lon,distance_to_potential_aed,distance_to_existing_aed,existing_aed_id,existing_aed_lat,existing_aed_lon,arrest_count,potential_aed_lat,potential_aed_lon
75,"[15042, 18021, 18295]","[51.01885, 51.02261, 51.01811]","[2.44693, 2.35094, 2.39715]","[3.735040705008405, 10.459491290151552, 7.2020949617737235]","[10.791531788987566, 16.784292065743816, 13.933091820175687]","[7893, 7893, 7893]","[51.0682627, 51.0682627, 51.0682627]","[2.5797847, 2.5797847, 2.5797847]",3,51.01515151515152,2.5
265,[15775],[50.80813],[2.58328],[0.6394457692367104],[5.963854127441674],[12694],[50.8561094],[2.6212331],1,50.813131313131315,2.578787878787878
564,[11703],[50.79195],[2.69269],[0.31992141083505715],[4.078195679346796],[12442],[50.8106849],[2.7425783],1,50.792929292929294,2.696969696969697
759,[11577],[50.70137],[2.77544],[1.051119936819506],[4.999111584888632],[12734],[50.733506],[2.8250977],1,50.69191919191919,2.775757575757576
969,[10978],[50.8997],[2.8494],[0.7352060523741573],[2.227755520159039],[7936],[50.8875561],[2.8746626],1,50.89393939393939,2.8545454545454545
1059,[13556],[50.6981],[2.90552],[1.0666317973445867],[1.4052667970441264],[6842],[50.7084842],[2.8941468],1,50.69191919191919,2.893939393939394
1061,"[14531, 16419]","[50.73204, 50.72894]","[2.91198, 2.9134]","[1.270095563697199, 1.4204144637514278]","[2.331200563803352, 2.3557551657937563]","[10814, 10814]","[50.7260324, 50.7260324]","[2.8802483, 2.8802483]",2,50.73232323232323,2.893939393939394
1160,[16643],[50.72059],[2.91961],[1.3491762908402245],[2.241890524674901],[6842],[50.7084842],[2.8941468],1,50.71212121212121,2.9333333333333336
1162,"[11437, 16827]","[50.74279, 50.7555]","[2.9339, 2.93983]","[1.0832446334011083, 0.5641675528706466]","[1.094652428572841, 0.6100347161609808]","[5950, 5950]","[50.7505322, 50.7505322]","[2.9435095, 2.9435095]",2,50.75252525252525,2.9333333333333336
1262,[30201],[50.75378],[2.96469],[0.5823730050376333],[0.6145510810429765],[10812],[50.7590608],[2.9621126],1,50.75252525252525,2.9727272727272727
1263,[12535],[50.76632],[2.98189],[0.9606229590980628],[1.0535311490279455],[4241],[50.7688947],[2.9963067],1,50.77272727272727,2.9727272727272727
1264,[15113],[50.79633],[2.96143],[0.879488529329859],[0.8966457123930828],[1624],[50.7897536],[2.954048],1,50.792929292929294,2.9727272727272727
1265,[12932],[50.80904],[2.97213],[0.45686472039227694],[0.7744164776891529],[6216],[50.8136021],[2.980458],1,50.813131313131315,2.9727272727272727
1273,[10950],[50.9691],[2.9747],[0.6429827083254617],[1.7890941658283936],[7610],[50.9534567],[2.9687243],1,50.974747474747474,2.9727272727272727
1363,"[11098, 15025, 15610, 15921]","[50.77418, 50.77494, 50.7737, 50.77525]","[3.01323, 3.01341, 3.0108, 3.01813]","[0.17936800435914457, 0.2622031917014284, 0.14258544213603205, 0.5071630244694336]","[0.44890136091458605, 0.48599855632362304, 0.2709976164810638, 0.532686926903475]","[6169, 6169, 6169, 8268]","[50.7733135, 50.7733135, 50.7733135, 50.7790981]","[3.0069949, 3.0069949, 3.0069949, 3.0226424]",4,50.77272727272727,3.012121212121212
1365,[12919],[50.81245],[3.01575],[0.26597332812850244],[2.193303551651137],[10815],[50.7950022],[3.0011922],1,50.813131313131315,3.012121212121212
1379,[10941],[51.0942],[3.00888],[0.2991899071903227],[1.293704115757195],[6953],[51.0997155],[3.0251922],1,51.0959595959596,3.012121212121212
1560,[16310],[50.70282],[3.07311],[1.624991999578875],[8.507094332692253],[11947],[50.7742924],[3.0299842],1,50.71212121212121,3.090909090909091
1575,[10960],[51.0105],[3.10276],[0.977174323939589],[1.5120759762820286],[11160],[50.9980357],[3.1113999],1,51.01515151515152,3.090909090909091
1658,[15857],[50.68075],[3.11598],[1.4238829967764253],[7.826462149163153],[5095],[50.7290739],[3.1967847],1,50.67171717171717,3.1303030303030304
1660,[15146],[50.71536],[3.12919],[0.3685644932766073],[4.996728750881065],[5095],[50.7290739],[3.1967847],1,50.71212121212121,3.1303030303030304
