lat,lon
51.23266,4.4444
51.16376,4.98392
51.2985,4.47723
51.25461,4.49728
51.42894,4.50414
51.29436,4.48429
51.20685,5.13662
51.16195,4.99741
51.24848,4.43869
51.20303,4.34549
51.05218,4.63286
51.06748,4.97676
51.28273,4.42134
51.08712,4.71695
51.03058,4.68246
51.03636,4.47608
51.12603,4.47183
51.21188,4.42121
51.31512,4.8905
51.17895,4.39024
51.17421,4.38765
51.2052,4.76586
51.16893,4.45397
51.14319,4.56498
51.2088,4.47409
51.19863,4.42733
50.75051,3.60721
51.06293,4.45693
51.40734,4.99149
51.06686,4.75051
51.10054,4.23741
51.16687,4.41863
51.28935,5.05298
51.28777,4.48614
51.16369,4.99844
51.21682,4.32976
51.24102,4.43908
51.33328,5.09857
51.05113,4.34454
51.22107,4.38607
51.04707,4.63068
51.18682,5.11235
51.20816,4.46373
51.06002,4.35435
51.10899,4.98734
51.41144,5.01418
51.22447,4.45459
51.2323,4.44421
51.29536,4.77928
51.3057,5.1078
51.22639,4.4545
51.0848,4.91172
51.39505,4.79776
51.22559,4.42844
51.43584,4.52359
51.27207,4.715
51.22378,4.38174
51.04989,4.46343
51.08021,4.83531
51.30677,4.50882
51.21426,4.41614
51.23133,4.45073
51.30706,4.89953
51.15847,4.669
51.26991,4.41688
51.25058,4.45546
51.08327,4.66764
51.35978,4.55824
51.16335,4.49617
51.24292,4.96751
51.2259,4.42672
51.19284,4.37538
51.05366,4.35673
51.1564,4.44618
51.0505,4.77139
51.23036,4.4111
51.19977,4.41855
51.11643,4.65962
51.20281,4.45002
51.17422,4.46815
51.32682,5.07538
51.30344,4.96115
51.22921,4.5243
51.31767,4.93549
51.15785,5.03792
51.12941,4.93177
51.19073,5.12065
51.04372,4.32581
51.19847,4.90286
51.32067,4.93065
51.38397,4.47851
51.26772,4.87598
51.1849,4.42691
51.0398,4.47068
51.22228,4.47652
51.04954,4.34854
51.11836,4.33197
51.29245,4.86225
51.21499,4.4205
51.22223,4.47431
51.18885,4.4513
51.11911,4.82642
51.27153,4.41219
51.24452,4.41291
51.03102,4.46448
51.39668,4.75695
51.03417,4.86417
51.10073,4.39889
51.30856,4.54447
51.09521,4.51047
51.09056,4.51712
51.06524,4.62723
51.19108,4.44371
51.10993,4.79089
51.19634,4.42658
51.23645,4.82737
51.26979,4.41438
51.24483,4.43948
51.1916,4.37024
51.15563,4.8075
51.27108,4.52854
51.19598,4.44257
51.25887,4.45368
51.20329,4.48076
51.24967,4.43787
51.00828,4.50915
51.24995,4.45492
51.21311,4.41301
51.22246,4.40593
51.05956,4.34433
51.09386,4.50912
51.34641,4.80962
51.05066,4.35268
51.10364,4.30224
51.17334,5.119
51.19954,5.1481
51.23222,4.41106
51.17006,4.40924
51.14304,4.41302
51.24074,4.64066
51.25649,4.44971
51.3215,4.9402
51.30036,4.57131
51.04111,4.47232
51.18388,4.35692
51.22985,4.44248
51.24518,4.47
51.2069,4.78012
51.27417,4.63356
51.20233,4.34374
51.26698,5.0924
51.24073,5.09887
51.18783,4.36277
51.20469,4.34819
51.0338,4.49782
51.18661,4.38981
51.30682,4.48009
51.22804,4.40475
51.25843,4.86145
51.18238,4.86234
51.18633,4.36938
51.21395,4.4431
51.46578,4.47087
51.24631,4.64394
51.19391,4.40999
51.2135,4.44092
51.26874,4.71043
51.14724,4.37675
51.26349,4.57227
51.24921,4.57076
51.2438,4.57976
51.39311,4.59205
51.2677,4.53066
51.14045,4.55345
51.21087,4.51159
51.21974,4.42754
51.19617,4.45219
51.17918,4.42398
51.20821,4.42792
51.39701,4.75699
51.18707,4.38481
51.20163,4.48679
51.17485,4.74406
51.05785,4.29457
51.36521,4.25268
51.17191,4.34244
51.03276,4.49474
51.16876,4.45205
51.25452,4.44926
51.08998,4.37235
51.18864,4.38099
51.17184,4.38314
51.1007,4.72116
51.20744,4.75823
51.21782,4.41641
51.18011,4.42745
51.26154,4.41937
51.20781,4.44616
51.21489,4.42992
51.31404,4.92728
51.21836,4.43833
51.13332,4.57798
51.12313,4.48638
51.2871,4.64115
51.20182,4.45809
51.11474,4.23646
51.07712,4.4202
51.38878,5.01547
51.32484,4.94269
51.2993,4.89452
51.10164,4.89978
51.22848,4.54555
51.24382,4.5804
51.14824,4.45371
51.23287,4.46478
51.08928,4.22068
51.10356,4.30201
51.20994,4.47441
51.14389,4.56829
51.24499,4.44116
51.15252,4.62003
51.16023,4.36771
51.22535,4.40397
51.30932,4.39848
51.28209,4.45141
51.46478,4.45176
51.27486,4.52893
51.13182,4.44078
51.22804,4.40469
51.17533,4.34931
51.39581,4.95056
51.2146,4.40144
51.2184,4.43182
51.14251,4.34418
51.23284,4.45568
51.31842,4.90268
51.07776,4.49175
51.35357,4.75822
51.03756,4.59573
51.22005,4.44719
51.08768,4.3306
51.17928,4.4359
51.31485,4.85623
51.04733,4.56005
51.22203,4.41169
51.05084,4.47799
51.21598,4.40009
51.2575,4.44625
51.31508,4.9394
51.23252,4.44832
51.20767,4.4284
51.17095,4.84201
51.20372,4.40323
51.22735,4.47562
51.12472,4.45408
51.31226,4.99972
51.29924,4.50917
51.0212,4.48132
51.26317,4.55656
51.20256,4.46637
51.05854,4.69648
51.1526,4.98235
51.05906,4.34602
51.20629,4.41896
51.25248,4.46613
51.13531,4.56563
51.09809,4.48535
51.1275,4.57709
51.18822,4.37453
51.24459,4.44932
51.23045,4.57525
51.17791,5.10049
51.10399,4.64089
51.20255,4.39534
51.35584,4.33908
51.40954,5.00402
51.08904,4.87429
51.14053,4.38721
51.2001,4.40447
51.21982,4.36486
51.03055,4.48229
51.39422,4.94415
51.21779,4.33976
51.17902,4.38004
51.24678,4.59895
51.04382,4.48461
51.2784,4.41729
51.11316,4.86096
51.12875,4.32993
51.08493,4.31219
51.14284,4.45015
51.39082,4.47453
51.21438,4.33518
51.08228,4.8404
51.17916,4.85249
51.01419,4.47317
51.22036,4.46058
51.21092,4.59635
51.23549,4.83877
51.38892,4.47523
51.36874,4.9973
51.05471,4.3602
51.30279,4.56784
51.24737,4.44466
51.32447,4.43378
51.34344,4.7565
51.07077,4.57096
51.30389,4.50522
51.32623,5.06987
51.35076,4.39149
51.24336,4.44275
51.2009,5.1097
51.22977,4.41701
51.22882,4.52488
51.35601,4.86484
51.21907,4.32676
51.08651,4.36411
51.22701,4.42207
51.2534,4.43395
51.2416,4.58782
51.18054,4.3458
51.04731,4.93998
51.13976,4.43835
51.23363,4.68731
51.03698,4.34518
51.06211,4.36535
51.10021,4.23607
51.32599,4.95145
51.24514,4.43663
51.25681,4.50528
51.19258,4.42066
51.03237,4.48332
51.13714,4.4516
51.32135,4.58361
51.17484,4.35336
51.06023,4.6284
51.04626,4.86581
51.21999,4.36693
51.24717,4.45065
51.22137,4.42413
